id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N1C602,Side_Office,"ประตูข้าง สำนักงาน",Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463436,"Out door",2บุคคลฯ,N1,602,192.168.20.7,,Active,N1C602,,1,46.4300,54.5800
D4C202,Bio2,"ห้องเตรียมสาร Lab",Bullet,Hikvision,,,"In door",2ห้องปฏิบัติการ,D4,202,192.168.20.204,,Active,D4C202,,4,12.3400,12.2600
OS14,CM1-OS14,OS14,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS14,,13,12.3700,78.5700
OS06,CM1-OS06,OS06,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS06,,13,3.2300,12.4300
N3C1302,F1_PA,"ห้องกล่อง แพคกิ้ง",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842227,"In door",2แพคกิ้ง,N3,1302,192.168.20.61,,Active,N3C1302,,1,49.9100,33.4400
ST47,CM1-ST47,ST47,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST47,,13,19.5000,96.0300
N1C1002,workway_door,"ประตูทางเข้า เล็ก",Bullet,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200742,"Out door",2บุคคลฯ,N1,1002,192.168.0.211,,Active,N1C1002,,1,16.8000,55.1300
OS20,CM1-OS20,OS20,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS20,,13,26.3400,31.5200
OS07,CM1-OS07,OS07,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS07,,13,12.4000,11.2200
PA35,CM1-PA35,PA35,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA35,,13,34.0400,40.1600
N4C2102,Larn_MC,"ลาน เครื่องกล",Bullet,Hikvision,,,"Out door",2เครื่องกล,N4,2102,192.168.20.96,,Active,N4C2102,,1,66.6700,23.8700
N2C402,IQF_line1,"IQF line 2",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929319,"In door",2ผลิต,N2,402,192.168.20.33,,Active,N2C402,,1,56.8000,29.3200
OS03,CM1-OS03,OS03,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS03,,13,3.5900,24.5300
N1C1102,Big_Factory_Gate,"ประตูทางเข้า ใหญ่",Bullet,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200760,"Out door",2บุคคลฯ,N1,1102,192.168.0.212,,Active,N1C1102,,1,17.0800,58.1100
ST10,CM1-ST10,ST10,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST10,,13,20.4700,80.0000
N2C1302,GB_1,"โต๊ะคัด 1",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929262,"In door",2แพคกิ้ง,N2,1302,192.168.20.43,,Active,N2C1302,,1,53.6100,46.6100
N3C1602,Water_Tank,บ่อบาดาล,Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8219180,"Out door",2เครื่องกล,N3,1602,192.168.20.64,,Active,N3C1602,,1,44.5900,27.2400
D4C102,Chem2,"ห้องสกัดสาร Lab",Bullet,Hikvision,,,"In door",2ห้องปฏิบัติการ,D4,102,192.168.20.204,,Active,D4C102,,4,24.0800,79.2300
N2C1402,GB_4,"โต๊ะคัด 4",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929227,"In door",2แพคกิ้ง,N2,1402,192.168.20.44,,Active,N2C1402,,1,53.5800,42.0400
N2C502,Salt_storage,โรงเก็บเกลือ,Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929270,"In door",2ผลิต,N2,502,192.168.20.34,,Active,N2C502,,1,49.1100,18.0300
PR56,CM1-PR56,PR56,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR56,,13,74.8100,32.2600
N1C2602,Salt_tank_line,"ถังเกลือ ไลน์ 2",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617235,"In door",2ผลิต,N1,2602,192.168.20.29,,Active,N1C2602,,1,60.0000,29.9600
N4C502,CD1,"ห้องเย็น 1",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617282,"In door",2สโตร์ฯ,N4,502,192.168.20.85,,Active,N4C502,,1,54.0800,36.7900
N4C2002,F1_PR,"ห้องกล่อง ผลิต",Bullet,Hikvision,,,"In door",2ผลิต,N4,2002,192.168.20.95,,Active,N4C2002,,1,56.7300,27.9100
N2C702,Auto_CD,"Auto CD",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20230712AAWRAD6929294,"In door",2แพคกิ้ง,N2,702,192.168.20.36,,Active,N2C702,,1,52.3400,36.5900
N3C202,Chill_room,"ห้องชิล รับวัตถุดิบ",Bullet,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234253,"In door",2รับวัตถุดิบ,N3,202,192.168.20.58,,Active,N3C202,,1,65.8900,40.3300
PA26,CM1-PA26,PA26,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA26,,13,38.0800,40.7700
