asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N4C2102,Larn_MC,"ลาน เครื่องกล",Camera,Hikvision,,,2เครื่องกล,192.168.20.96,,Active,,1,66.6700,23.8700
N2C402,IQF_line1,"IQF line 2",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929319,2ผลิต,192.168.20.33,,Active,,1,56.8000,29.3200
OS03,CM1-OS03,OS03,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,3.5900,24.5300
N1C1102,Big_Factory_Gate,"ประตูทางเข้า ใหญ่",Camera,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200760,2บุคคลฯ,192.168.0.212,,Active,,1,17.0800,58.1100
ST10,CM1-ST10,ST10,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,20.4700,80.0000
N2C1302,GB_1,"โต๊ะคัด 1",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929262,2แพคกิ้ง,192.168.20.43,,Active,,1,53.6100,46.6100
N3C1602,Water_Tank,บ่อบาดาล,Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8219180,2เครื่องกล,192.168.20.64,,Active,,1,44.5900,27.2400
D4C102,Chem2,"ห้องสกัดสาร Lab",Camera,Hikvision,,,2ห้องปฏิบัติการ,192.168.20.204,,Active,,4,24.0800,79.2300
N2C1402,GB_4,"โต๊ะคัด 4",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929227,2แพคกิ้ง,192.168.20.44,,Active,,1,53.5800,42.0400
N2C502,Salt_storage,โรงเก็บเกลือ,Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929270,2ผลิต,192.168.20.34,,Active,,1,49.1100,18.0300
PR56,CM1-PR56,PR56,Camera,Hikvision,,,1ผลิต,,,Active,,13,74.8100,32.2600
N1C2602,Salt_tank_line,"ถังเกลือ ไลน์ 2",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617235,2ผลิต,192.168.20.29,,Active,,1,60.0000,29.9600
N4C502,CD1,"ห้องเย็น 1",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20240821AAWRFM4617282,2สโตร์ฯ,192.168.20.85,,Active,,1,54.0800,36.7900
N4C2002,F1_PR,"ห้องกล่อง ผลิต",Camera,Hikvision,,,2ผลิต,192.168.20.95,,Active,,1,56.7300,27.9100
N2C702,Auto_CD,"Auto CD",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20230712AAWRAD6929294,2แพคกิ้ง,192.168.20.36,,Active,,1,52.3400,36.5900
N3C202,Chill_room,"ห้องชิล รับวัตถุดิบ",Camera,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234253,2รับวัตถุดิบ,192.168.20.58,,Active,,1,65.8900,40.3300
PA26,CM1-PA26,PA26,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,38.0800,40.7700
N1C1202,Motorcycle_garage,"โรงจอดรถ ตะวันออก",Camera,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200745,2บุคคลฯ,192.168.0.213,,Active,,1,23.7400,55.1300
N1C2402,FN_auto,"บรรจุกล่อง Auto",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929307,2แพคกิ้ง,192.168.20.27,,Active,,1,53.6100,33.7300
N1C802,lonry_mac,โรงซักผ้า,Camera,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463512,2บุคคลฯ,192.168.20.9,,Active,,1,46.1300,17.9700
